,Geography,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Mean 20/21,Standard Deviation
0,Canada,38037204,38033014,38068872,38153211,38246108,38107681.8,91218.58654462916
1,Newfoundland and Labrador,521364,520194,519664,519693,520553,520293.6,703.5767904074153
2,Prince Edward Island,161329,161402,161514,162596,164318,162231.8,1275.120072777462
3,Nova Scotia,981889,981552,982012,985776,992055,984656.8,4479.995502229885
4,New Brunswick,783204,783257,784156,785819,789225,785132.2,2520.416771091638
5,Quebec,8578300,8579476,8579370,8587179,8604495,8585764.0,11056.514618088288
6,Ontario,14745712,14740704,14759431,14795883,14826276,14773601.2,36510.07045597146
7,Manitoba,1380648,1380447,1381459,1383638,1383765,1381991.4,1607.0386740834833
8,Saskatchewan,1179300,1178164,1178971,1180314,1179844,1179318.6,824.7937924111699
9,Alberta,4420029,4424557,4431454,4438772,4442879,4431538.2,9515.087161975975
10,British Columbia,5158728,5156587,5163919,5185990,5214805,5176005.8,24631.103663863705
11,Yukon,42174,42300,42344,42586,42986,42478.0,320.8519907994962
12,Northwest Territories ,45372,45265,45323,45629,45504,45418.6,147.02482783530135
13,Nunavut ,39155,39109,39255,39336,39403,39251.6,122.19165274273034
