,Region,Week,NumPartially
0,Canada,2021-06-05,19960756.0
1,Newfoundland and Labrador,2021-05-29,278592.0
2,Nova Scotia,2021-06-19,604630.0
3,Quebec,2021-06-05,4815864.0
4,Manitoba,2021-06-05,639752.0
5,Saskatchewan,2021-05-29,559140.0
6,British Columbia,2021-06-05,2991745.0
7,Yukon,2021-03-27,12268.0
8,Northwest Territories,2021-02-13,12996.0
9,Nunavut,2021-03-27,6284.0
10,Prince Edward Island,2021-06-19,88845.0
11,New Brunswick,2021-06-05,437314.0
12,Alberta,2021-06-05,1991366.0
13,Ontario,2021-06-05,7929387.0
